time,setpoint,speed,error
1766131216.9473054,0,0,0
1766131217.4582636,0,0,0
1766131217.948798,0,0,0
1766131218.4480028,100,0,100
1766131218.9562511,100,100,0
1766131219.5301108,100,100,0
1766131219.974191,100,100,0
1766131220.4986565,100,100,0
1766131220.9915752,100,100,0
1766131221.4529157,100,100,0
1766131221.9848619,100,100,0
1766131222.475294,180,100,80
1766131222.966121,180,180,0
1766131223.4671788,180,180,0
1766131223.9621527,180,180,0
1766131224.461203,180,180,0
1766131225.0292344,180,180,0
1766131225.4987676,180,180,0
1766131225.981603,180,180,0
1766131226.466741,255,180,75
1766131226.9600954,255,255,0
1766131227.5018785,255,255,0
1766131227.9700754,255,255,0
1766131228.5211005,255,255,0
1766131229.030369,255,255,0
1766131229.4805815,255,255,0
1766131229.996073,255,255,0
1766131230.4709182,150,255,-105
1766131231.0375652,150,150,0
1766131231.5421338,150,150,0
1766131231.9821901,150,150,0
1766131232.5199187,150,150,0
1766131232.9756613,150,150,0
1766131233.4890392,80,150,-70
1766131233.9769056,80,80,0
1766131234.4995003,80,80,0
1766131234.9872215,80,80,0
1766131235.5255756,80,80,0
1766131235.9833896,80,80,0
1766131236.5062766,0,80,-80
1766131237.014665,0,0,0
1766131237.4889169,0,0,0
1766131238.0927248,0,0,0
1766131238.4958453,0,0,0
1766131239.0054433,0,0,0
1766131239.4968362,0,0,0
